x,y,Fe,Al2O3,SiO2,Mn,P,Rest,Comminution Time,Specific Energy,Fe Recovery,Working Face
-130,95,0.672937223016686,0.0045943390237598,0.0065064446800892,0.0014917602885021,0.0011244304264976,0.313345802564465,3,1.3509269629018374,0.839277229444273,C
90,70,0.41026216044322994,0.0180690079278179,0.147304821489189,0.000154573843124,0.0007279313604274,0.273481504936212,2,0.8463754442962522,0.5864176064374674,B
90,75,0.461342953486755,0.0219733462325449,0.0684416979376133,0.0002355729079903,0.0009295868727799,0.297076842562317,2,0.829673433209738,0.7084230512995793,B
-130,90,0.661944393334474,0.0057420323454729,0.0087947593061412,0.0035705196688445,0.0014446937316519,0.318503601613415,3,0.849957377185069,0.811320579725283,C
-130,60,0.574330958821962,0.0227177676973671,0.0298202617813666,0.0018675976874242,0.0016325223037679,0.319630891708112,1,0.9621023689069452,0.7854016497911357,A
-125,110,0.655171028227959,0.0067897927768794,0.0129605342237427,0.0008529755930354,0.0016397644926681,0.322585904685716,1,0.9432431597376651,0.8237787586841971,C
85,45,0.46319693052603694,0.0188012409148373,0.0633612900384311,0.0005999721889917,0.0013062472621114,0.302734319069591,3,1.3636135832280487,0.7691987169784081,B
-130,85,0.602896988747524,0.0098672490700685,0.0140343305269138,0.0027706687457389,0.0015805925802283,0.318850170329527,1,1.077929658444559,0.8039377266212284,A
-130,65,0.570558871614132,0.0254376048646511,0.0350995664169091,0.0012672991277444,0.0015981877453343,0.316038470231229,2,1.4207302059389977,0.7558205389706629,A
-130,80,0.5940541197948319,0.0135189484817633,0.019711643823221,0.0032637254255367,0.0015965162404624,0.317855046234185,1,1.5032858802757993,0.7583846631762265,A
-130,70,0.5882853322159439,0.0118360339148241,0.032352865661307,0.0011708175017036,0.0013956707093984,0.314959279996823,2,1.1981322031540829,0.7431836701290189,A
-130,75,0.596362075170084,0.0110766620715161,0.0192097858692476,0.0026177783808963,0.0016364142292846,0.319097284278971,1,0.6577672415412126,0.7872644376733757,A
85,50,0.44071685788508297,0.0123863062239628,0.100434385560865,0.0003511358442238,0.0010200558486143,0.295091258637251,1,1.4507275340896233,0.6614029130821276,B
-125,105,0.660676266051631,0.0062015901725583,0.0117862132982095,0.000574763461128,0.0015203915447152,0.319240775471758,2,1.4855554465683793,0.8305106853199563,C
80,35,0.44953314339959394,0.0287383736133338,0.0677963978680452,0.0009466131133062,0.0010109668907717,0.301974505114949,1,1.1417951781505473,0.6896023718725978,B
85,55,0.41676484112549594,0.0111334450565364,0.136878388076103,0.0003468361903209,0.0010134157186202,0.283863073832923,1,1.25831733733507,0.5783313746493293,B
-125,100,0.666694483296797,0.00483462301488,0.0081362442660827,0.0006195891624599,0.0015526955672605,0.31816236469252,3,0.9077099273284865,0.8170325757116774,C
-120,115,0.650139575982183,0.0093226598614123,0.0163404748466155,0.0008596041452035,0.0015125517542499,0.321825133410336,2,1.2945589955092605,0.7895037951352382,C
85,90,0.635018420669695,0.0186182451342787,0.0251238863342284,0.0008817490878931,0.0015504553001823,0.318807243473723,3,1.2420693049534817,0.7648028903462065,C
85,60,0.37487777645617193,0.0294892091866859,0.172047412103394,0.0003647354779064,0.0009188478278225,0.27230201894802,2,1.0816517876268787,0.4,B
80,40,0.44419889731723494,0.0320353873343185,0.0683073602263995,0.0016116698600317,0.0012496032117708,0.302597082050245,2,1.2480319784927782,0.6933070283453857,B
85,85,0.636979937880023,0.0182296796816531,0.0241686103188668,0.0007470115620029,0.0015224182219048,0.318352342335549,2,1.0160205765699724,0.73777075749868,C
85,65,0.41024063526339993,0.032303032317265,0.123166099634894,0.0003800268971417,0.0009186943449422,0.282991511542356,2,0.9514507598366304,0.6353057527085059,B
-125,95,0.669590594821519,0.0043200428389619,0.0071326165915635,0.0006395993094683,0.0013992907415131,0.316917855696974,2,1.062027452255517,0.7920651263938757,C
85,80,0.646528791740875,0.0120616622474704,0.0204629083821059,0.0005728790609431,0.001526185766005,0.3188475728026,2,1.1249886592092684,0.7892366563058478,C
85,70,0.4274106580103699,0.0272305580590016,0.111040724582855,0.0002170101380254,0.0007162226484473,0.2833848265613,1,1.1156465244655773,0.6274441274640467,B
-125,55,0.579301442217583,0.0174814796565155,0.0261733091021349,0.0018288282165501,0.0016264837037143,0.323588457103502,2,0.572633279381719,0.7919751847181886,A
85,75,0.46503378413306296,0.020168812630607,0.0645538593620269,0.0002497462335666,0.0010209133863821,0.298972884254355,3,0.8100392409996802,0.7228964856635274,B
-120,110,0.656526131884673,0.0054166571112118,0.0137335065166337,0.0006835228112631,0.0015570496775924,0.322083131998626,3,1.199638574623525,0.8091169742348898,C
-125,90,0.662194061369924,0.0058444102745438,0.009898941793086,0.000874838275422,0.001401682243696,0.319786066043329,3,1.3596134574890442,0.8169352468584199,C
80,45,0.447818091258403,0.0226977670650733,0.0719815079730186,0.000646244140202,0.0015223074247284,0.305334082138575,1,1.450280595673061,0.6924747848296254,B
-125,60,0.5735422574016199,0.0205753954845393,0.0292431708059654,0.0021533027757774,0.001871296786595,0.322614576745503,3,1.1473446310358373,0.708145072304489,A
-125,85,0.604913982503042,0.0091391549487744,0.0138259444795064,0.0019259666852713,0.001540245938504,0.318654705444901,3,1.039877411994224,0.8297794173996266,A
-125,65,0.577918177427025,0.0203448169764624,0.0272812907447182,0.0015916570230355,0.0017902679231854,0.321073789905573,2,1.269258976747574,0.770621612457395,A
-125,80,0.587825231547205,0.014996452007848,0.022575846950293,0.0036945511284037,0.0016120594889857,0.319295858877265,3,1.4082287373676081,0.7632280927286439,A
-125,70,0.592310087088746,0.0101956307829377,0.021531026362161,0.0017920592806669,0.0014910659150565,0.322680130570432,2,1.3588069029453693,0.7885132174709755,A
-125,75,0.5806120640431129,0.0138905171441761,0.0248260949214282,0.0035947144554608,0.0016435452418914,0.32543306419393,3,0.7893522153249348,0.7441717486927345,A
80,50,0.45457523637723796,0.0109682376951793,0.0808805089367793,0.0004051654719911,0.0011078885798902,0.302062962938922,2,0.8783059001720841,0.6866772407649832,B
75,35,0.4507572465230639,0.0268718509593754,0.0679911681228094,0.0006814668604919,0.0011316913028845,0.302566576231375,3,1.1350737994791573,0.6612546486770617,B
-120,105,0.661232741868737,0.0052430738429693,0.010160806195882,0.0006206038434238,0.001745596382003,0.320997177866985,1,1.1810703414742476,0.776990547922834,C
80,55,0.41065605792289095,0.0122442982204842,0.144491354719409,0.000347083105566,0.0008586597992779,0.281402546232372,1,1.3586730274191114,0.5830048525241185,B
-115,115,0.649096478940548,0.0108315944180183,0.0176429900742132,0.0008209850721843,0.0013531841457016,0.320254767349334,3,1.2751980973936348,0.7923814438160405,C
-120,100,0.661777711496301,0.0056692193456777,0.0097928939996033,0.0007974174694711,0.0016332046928922,0.320329552996055,2,1.2160688218481208,0.8138939938646219,C
80,90,0.638831809885114,0.017184319943323,0.0225061509977416,0.000822592543247,0.0016878831165188,0.318967243514056,1,1.0401037606110568,0.7926429877416914,C
80,60,0.423111747832821,0.0256485055642102,0.107793508204103,0.0007285228230291,0.000925652048337,0.2917920635275,3,1.1233371727936081,0.6229057955661927,B
75,40,0.4361363061020149,0.0301238035404375,0.0824578539761473,0.0006104751406488,0.0012635937777085,0.299407967463043,3,0.5667906536166769,0.6544022895859524,B
80,85,0.644222511748783,0.0153362426504393,0.0201661507202969,0.0006582981589769,0.0016896698043463,0.317927126917158,2,1.3494018825676115,0.8005380296725033,C
80,65,0.446577297358019,0.0329377812618429,0.0689113135992866,0.0005544268266421,0.0009314264451145,0.300087754509094,2,1.2212456049237768,0.6987929744277156,B
-120,95,0.666888715475119,0.0045299676930914,0.0080396323176716,0.0009172698125646,0.0013779396868479,0.318246475014705,1,1.4240825766994565,0.7956169280756311,C
80,80,0.6535025929242,0.0111340566118609,0.0168768895479121,0.0004037025541697,0.0015137822150974,0.31656897614676,1,1.2014062901770026,0.746347201929964,C
-120,55,0.577215091135483,0.0183064060847695,0.0276310665458004,0.0021312882691666,0.0015028040775092,0.323213343887271,2,0.7685907449398742,0.7594602763525397,A
80,70,0.44990179714621903,0.031639969997303,0.0683132508234326,0.0003125079807505,0.0008786583724455,0.298953815679849,1,1.62682868075504,0.707875943418981,B
80,75,0.480267277856958,0.0215259470120045,0.0409815255305614,0.0002164548553136,0.0010536713601691,0.305955123384993,1,1.3760194738433542,0.7648992179810553,B
-115,110,0.658100490872471,0.0076895225776842,0.0135357663659584,0.0006012479925428,0.0012793044487398,0.318793667742604,3,1.1666481101649935,0.8108762992029406,C
75,45,0.44019742367954695,0.019136593754566,0.0928489186783931,0.0003537339264553,0.001164082381715,0.296299247579323,3,1.0220354532501854,0.6882272070499765,B
-120,90,0.658968097018993,0.0077435359538883,0.0130045535005178,0.0010071056396128,0.0014040510522826,0.317872656834705,2,1.3328452886656745,0.8245513975531252,C
-120,60,0.570164753781561,0.0216442783578612,0.0314910340462583,0.0025818134169225,0.0017137239951768,0.32240439640222,2,1.3304324057658867,0.7640225438206661,A
-120,85,0.595413319445997,0.0134091776893504,0.0203115967403249,0.0015899567104569,0.0015302155981864,0.317745733815684,3,1.2787682723816824,0.8019838523898823,A
-120,65,0.5711142222049129,0.0218982277987847,0.0308940633328682,0.0019877867156406,0.0016193131545729,0.32248638679322,1,1.256553679302884,0.7468100211801867,A
-120,80,0.5840123426519229,0.0163124397009765,0.0249925009841512,0.003742951470748,0.0016343781759153,0.319305387016286,2,1.3473996554628838,0.7342704121502139,A
-120,70,0.5814762969517889,0.0108359704729156,0.0219178446207397,0.0017880588633103,0.0015350448007251,0.332446784290521,1,1.2481793757585258,0.7759597847940427,A
70,35,0.44395462805989294,0.0308900186783531,0.0731037830528029,0.00053269551004,0.0011968131799133,0.300322061518997,3,1.133914571066546,0.6883647516109053,B
-120,75,0.5753958909861959,0.0145686095257971,0.025266917903903,0.0044929988283951,0.0017332854620351,0.328542297293674,2,1.190094211849319,0.7615499389892536,A
75,50,0.426641218792957,0.0092779116089605,0.126448178979717,0.000301648163723,0.0008565450855783,0.286474497369064,2,1.0456566681568442,0.6630639724605311,B
-115,105,0.656138103867009,0.008240881375143,0.0163962954494721,0.000843633435532,0.0015017505677711,0.316879335305073,2,1.255275066601335,0.7622647381510699,C
75,55,0.393984087344196,0.0085310087918929,0.171473776955861,0.0003145162061557,0.0008152632786038,0.274881347423291,3,1.568260801337426,0.5254627705242505,B
-110,115,0.643200979762957,0.0131442436471218,0.0213326385477619,0.001166624605225,0.0014266331540579,0.319728880282877,2,1.0008148276280524,0.7534649189445661,C
-115,100,0.652164914802101,0.0067152148899726,0.0155324609717455,0.0021538524508648,0.0017812083310481,0.321652348554268,3,1.0100784408311665,0.8404850513955873,C
70,40,0.43929170933748996,0.0309012871273767,0.0800078993993971,0.0004263062294848,0.0012479124388906,0.298124885467361,2,1.3208613896511026,0.7568486832653467,B
75,90,0.638435702528891,0.017864541396443,0.022288002053097,0.0008147987775142,0.0018127648161122,0.318784190427942,2,0.7975967878427185,0.7895817535801151,C
75,60,0.44617098981996195,0.017308443259886,0.0848821507186143,0.0004381840947871,0.0008841293257234,0.300316102781027,1,1.1348062308152702,0.6778246596909512,B
75,85,0.645983428253288,0.0135939508011892,0.0179801510009939,0.0006531803174606,0.0019224412856069,0.319866848341461,1,1.0400861334787113,0.7716520099195865,C
75,65,0.47970551201679,0.0191451576977624,0.0346268831547351,0.0005729891886743,0.0009711930994866,0.314978264842552,2,1.187965480083289,0.7403628051217586,B
-115,95,0.664202778855017,0.0053334225029519,0.0098806965026693,0.0016341646336486,0.0013328132892094,0.317616124216503,3,1.526926322999918,0.8334554034283834,C
-115,55,0.5758236975815999,0.0189086512346821,0.029222101342214,0.0022273858603774,0.0014181924580885,0.322399971523038,2,1.4153899533304717,0.7273981907138563,A
75,80,0.657409788664656,0.0074627472946825,0.0122574468397213,0.0004538485962061,0.0017101638173438,0.32070600478739,3,1.016908765421089,0.8389504392810165,C
75,70,0.455440208870733,0.031462396488112,0.0552136730552682,0.0003418915284202,0.0009625099114871,0.306579320145979,1,1.0599328589359824,0.7540210098446247,B
75,75,0.47568471392573897,0.0230422183375858,0.0382202857297272,0.0002353202224194,0.0010130868187818,0.311804374965747,3,1.0866489798462562,0.7580446552021651,B
-110,110,0.643293432303634,0.0126522620309195,0.0226737458303189,0.001148759243334,0.0014479904473481,0.318783810144445,1,1.3478339374557087,0.795489480752643,C
70,45,0.460027126363301,0.0180018835354539,0.07265126413358,0.0003025905229338,0.0010659212060105,0.297951214238721,1,1.139971606103429,0.7249369813874776,B
-115,90,0.654193161482856,0.0115168575201889,0.0178343381089836,0.0007856789594179,0.0012461058634632,0.314423858065091,3,1.1827163744618876,0.8059948897258229,C
-115,60,0.564744354840645,0.023747494225226,0.0343422555026312,0.0035997726834379,0.0014333269387882,0.322132795809272,2,0.6098621192286563,0.6932081885603075,A
-115,85,0.583844374265787,0.0202182339522405,0.0290208918126172,0.0013298094251767,0.0014222208496074,0.314164469694571,2,1.3773419669617206,0.7413492057869899,A
-115,65,0.562877716392464,0.0266964956427074,0.0366376665835749,0.0031200784466754,0.0013214471741488,0.319346595760429,1,1.220664162193636,0.7339306305253677,A
65,35,0.445426338970796,0.0313982385947412,0.0693322623647334,0.0004904761387903,0.0012651532728901,0.302087530658049,3,1.1935603004700388,0.6475866839173706,B
-115,80,0.5878336115656929,0.0162443451985441,0.0238762673852982,0.0033112546017981,0.001494151857868,0.317240369390798,1,1.533475796392958,0.7812472166681188,A
-115,70,0.586061155116427,0.0124114032799441,0.0261896733530617,0.002218180656518,0.0012697616646319,0.321849825929417,1,1.2109027298962958,0.7323642204919758,A
-110,105,0.647037851038251,0.0095433116252827,0.0233035064895559,0.0012461606433097,0.0014556612457393,0.317413508957862,2,1.5027744298011,0.7775255696144666,C
70,50,0.447353920773933,0.0128185012147567,0.094540048923866,0.0003056183442883,0.000784849737352,0.294197061005804,2,1.0329131507734863,0.6626607015987939,B
-115,75,0.594116943554905,0.0107062427103134,0.0183803836500341,0.0038827613482481,0.0015803360266121,0.321333332709887,2,0.9186802094684607,0.7553718710057782,A
-105,115,0.641619651693387,0.0145224830170134,0.0241540807745783,0.0013772673919504,0.0013767444763751,0.316949772646695,2,1.11285581726168,0.7986986728285412,C
70,95,0.638927840419661,0.0180077946242626,0.0216854993715649,0.0007890893608299,0.0017970037493654,0.318792772474317,2,0.9535442966824699,0.8162304061385717,C
70,55,0.407853099704099,0.0064614476949582,0.157369472174476,0.0003011130883849,0.0007611789415441,0.277253688396539,1,1.2725211123108346,0.5932183151256557,B
-110,100,0.646427930410472,0.0076892411084358,0.0261249051476315,0.0013967803848707,0.0015901606394739,0.316770982309116,1,1.2120304815133593,0.7746045331080886,C
65,40,0.437379493257979,0.0315252970748554,0.0814276839784529,0.0003993686270798,0.0012473845936413,0.298020772467992,3,1.2106523515451812,0.7020561764861182,B
70,90,0.636683490478163,0.0195870552269212,0.0227579958952764,0.0008196119773165,0.0018987151264213,0.318253131295901,2,1.0155933128905328,0.7751189343113261,C
70,60,0.40040219521806897,0.0062734924340771,0.163879724716924,0.0003124394936824,0.0008618965799153,0.278270251557332,1,1.349404529093389,0.5631853473532797,B
70,85,0.647742185562695,0.0119820346639094,0.0150450220473456,0.0006181036175266,0.0020598739954856,0.322552780113038,3,0.7035594373737791,0.7566294486854227,C
-110,95,0.658617066240843,0.0061418328205815,0.0144809412536767,0.0007731298748396,0.0012428178609062,0.318744211949153,1,0.850646160231906,0.822674443779982,C
70,65,0.48113484753092894,0.0070276628665814,0.0367248204623228,0.0007237938867793,0.0013487536205767,0.323040121632811,3,0.6905602829326984,0.767611662295751,B
-105,110,0.638229137140319,0.0155516535019088,0.0278333076055421,0.0014966710517486,0.0015136890129571,0.315375541687524,3,0.8798691431030424,0.7474114431652484,C
-110,55,0.5801988092023189,0.0173194256290189,0.0274089362752189,0.0021054674656909,0.0013682264969781,0.321599134930774,1,1.282008134875023,0.7299646969358158,A
70,80,0.657876473402077,0.0058103148640778,0.0084903411774966,0.0005053474645181,0.00179914914811,0.32551837394372,1,1.4640246231540301,0.748847539003949,C
